control_number	control_name	category	question_id	question	guidance	auditor_focus	evidence_type	answer_type	what_good_looks_like	red_flags	nc_pattern	severity	primary_persona	related_controls	cps234_ref	cps230_ref
5.13	Labelling of Information	Organisational Controls	5	How are staff trained on labelling requirements?	Labelling training review. Look for: training content; examples of correct labelling; common mistakes highlighted; verification during audits.	Can staff demonstrate correct labelling?	RECORD; PROCEDURE	Interview	Training includes labelling and examples provided and common mistakes covered and verification during audits and staff competent and refresher training	No training; No examples; Mistakes not covered; No verification; Staff incompetent	Staff not trained on information labelling requirements.	Medium	Advisor	6.3; 5.12; 5.10	21	
5.14	Information Transfer	Organisational Controls	1	Provide your information transfer policy and procedures.	Transfer policy review. Look for: procedures covering email; file sharing; physical media; verbal communication; security requirements by classification.	Are all transfer methods covered?	POLICY; PROCEDURE	Document	Transfer procedures cover all methods and email and file sharing and physical media and verbal and requirements by classification and practical and enforced	Missing transfer methods; Classification not linked; Requirements unclear; Impractical; Not enforced	Information transfer procedures not documented for all transfer methods.	High	Auditor	5.12; 8.24; 5.1		
5.14	Information Transfer	Organisational Controls	2	What secure transfer mechanisms are available?	Secure transfer capability review. Look for: encrypted email; SFTP; secure file sharing platforms; courier services; cryptographic keys for sensitive transfers.	Are secure mechanisms easily accessible to staff?	CONFIG; PROCEDURE	Document	Multiple secure mechanisms available and encrypted email and SFTP and secure sharing platforms and courier services and cryptographic key management and staff aware and accessible	Limited mechanisms; Encrypted email missing; No SFTP; No secure sharing; Staff unaware; Difficult to access	Secure transfer mechanisms not available or not easily accessible to staff.	High	Advisor	8.24; 5.12; 8.20		
5.14	Information Transfer	Organisational Controls	3	How are transfer agreements managed with external parties?	External transfer management review. Look for: NDAs; data sharing agreements; security requirements in contracts; due diligence before transfer.	Show me a recent external transfer agreement.	CONTRACT; RECORD	Document	NDAs in place and data sharing agreements and security in contracts and due diligence conducted and recent examples and regular review of agreements	No NDAs; No sharing agreements; Security not in contracts; No due diligence; No examples	External information transfer agreements not in place or lacking security requirements.	High	Auditor	5.19; 5.20; 6.6		
5.14	Information Transfer	Organisational Controls	4	How is confidential information transferred externally?	Confidential transfer review. Look for: encryption requirements; approved channels; recipient verification; delivery confirmation; transfer logging.	Can you demonstrate a secure external transfer?	PROCEDURE; RECORD	Demonstration	Encryption required and approved channels defined and recipient verification and delivery confirmation and transfer logging and recent example demonstrable	No encryption; Unapproved channels; No recipient verification; No confirmation; No logging	Confidential information transfer procedures not followed or not logged.	High	Auditor	8.24; 5.12; 8.15		
5.14	Information Transfer	Organisational Controls	5	How are removable media transfers controlled?	Removable media review. Look for: USB policy; encrypted device requirements; approval process; scanning before use; tracking and disposal.	Are USB devices encrypted and tracked?	POLICY; CONFIG; RECORD	Document	USB policy documented and encryption required and approval process and scanning before use and tracking and secure disposal and enforcement	No USB policy; No encryption; No approval; No scanning; Not tracked; No disposal process	Removable media transfers not controlled or encrypted devices not required.	High	Auditor	7.10; 8.1; 8.10		
5.15	Access Control	Organisational Controls	1	Provide your access control policy.	Access policy review. Look for: access principles including need-to-know and least privilege; approval process; review requirements; segregation of duties addressed.	Are access principles clearly defined?	POLICY; PROCEDURE	Document	Access control policy documented and need-to-know and least privilege principles and approval process and review requirements and segregation addressed and current and communicated	No access policy; Principles undefined; No approval process; No review requirements; SoD not addressed	Access control policy not documented or does not define access principles.	Critical	Auditor	5.1; 5.3; 5.16	11; 12	
5.15	Access Control	Organisational Controls	2	How is least privilege implemented?	Least privilege review. Look for: default deny approach; minimum necessary access; granular permissions; privilege escalation controls.	Can you demonstrate least privilege in action?	CONFIG; PROCEDURE	Demonstration	Default deny implemented and minimum access granted and granular permissions and privilege escalation controlled and regular review and demonstrable	Default allow; Excessive access granted; Coarse permissions; Uncontrolled escalation; No review	Least privilege principle not implemented in access control.	High	Auditor	5.18; 8.2; 5.3	11; 12	
5.15	Access Control	Organisational Controls	3	What is your access request and approval workflow?	Access workflow review. Look for: request process; business justification requirements; owner approval; security review for sensitive access.	Is approval documented and enforced?	PROCEDURE; RECORD	Document	Request workflow documented and business justification required and owner approval and security review for sensitive and approval documented and enforced	No workflow; No justification required; No approval; No security review; Not documented; Not enforced	Access request and approval workflow not documented or not consistently followed.	High	Auditor	5.16; 5.18; 5.2	11; 12	
5.15	Access Control	Organisational Controls	4	How often are access rights reviewed?	Access review schedule verification. Look for: review schedule with quarterly for privileged and semi-annual for standard; recertification process; reviewer assignments.	Show me recent access review evidence.	RECORD; REPORT	Document	Review schedule documented and quarterly for privileged and semi-annual for standard and recertification process and reviewers assigned and evidence available	No review schedule; Privileged not quarterly; Reviews overdue; No recertification; No evidence	Access rights reviews not conducted at required intervals.	High	Auditor	5.18; 8.2; RQ9	11; 12	
5.15	Access Control	Organisational Controls	5	How is access logging and monitoring implemented?	Access monitoring review. Look for: access logs maintained; monitoring for anomalies; alerting on suspicious patterns; log retention.	Are access logs actually reviewed?	CONFIG; RECORD	Document	Access logs maintained and anomaly monitoring and alerting on suspicious patterns and appropriate retention and regular review and integration with SIEM	No access logs; No anomaly monitoring; No alerting; Retention inadequate; Logs not reviewed	Access logging and monitoring not implemented or logs not reviewed.	High	Auditor	8.15; 8.16; 5.28	11; 12	
5.15	Access Control	Organisational Controls	6	How is physical and logical access coordinated?	Integrated access review. Look for: integrated access management; facility access linked to system access; synchronized revocation on termination.	Is badge access revoked with system access?	PROCEDURE; CONFIG	Document	Integrated access management and facility linked to system access and synchronized revocation and single source of truth and verified on termination and coordinated processes	Separate management; Facility not linked; Revocation not synchronized; Multiple sources; Not verified	Physical and logical access not coordinated or revocation not synchronized.	High	Advisor	7.2; 5.18; 6.5	11; 12	
5.16	Identity Management	Organisational Controls	1	Describe your identity lifecycle management process.	Lifecycle review. Look for: lifecycle stages including creation and modification and suspension and deletion; unique identifier assignment; no identifier reuse.	Is the full lifecycle documented?	PROCEDURE; MATRIX	Document	Lifecycle stages documented and creation and modification and suspension and deletion and unique identifiers and no reuse and complete coverage	Lifecycle incomplete; Stages missing; Identifiers reused; Not documented; Gaps in process	Identity lifecycle management process not fully documented.	High	Advisor	5.15; 5.18; 5.17	11; 12	
5.16	Identity Management	Organisational Controls	2	How are identities verified before account creation?	Identity verification review. Look for: verification process; manager approval; HR confirmation for employees; identity documentation for contractors.	What verification is required for new accounts?	PROCEDURE; RECORD	Document	Verification process documented and manager approval required and HR confirmation and identity documentation for contractors and evidence maintained	No verification; No approval; No HR confirmation; Contractor verification weak; No evidence	Identities not verified before account creation.	High	Auditor	6.1; 5.15; 5.18	11; 12	
5.16	Identity Management	Organisational Controls	3	How are shared and generic accounts controlled?	Shared account review. Look for: policy on shared accounts; exceptional use cases documented; compensating controls including enhanced logging; regular review.	What shared accounts exist and why?	POLICY; REGISTER; RECORD	Document	Shared account policy and exceptions documented with justification and compensating controls and enhanced logging and regular review and minimised use	No policy; Exceptions not documented; No compensating controls; No enhanced logging; No review	Shared and generic accounts not controlled or justified with compensating controls.	High	Auditor	5.15; 8.15; 5.3	11; 12	
5.16	Identity Management	Organisational Controls	4	What is the SLA for account deprovisioning on termination?	Deprovisioning timeliness review. Look for: target timeframe same day for terminations and immediate for terminations for cause; automated triggers from HR systems; verification of complete deprovisioning across all systems including cloud.	Show me recent termination timing evidence.	PROCEDURE; RECORD	Document	Same-day SLA documented and immediate for terminations for cause and automated HR triggers and verification process and evidence of recent terminations and complete deprovisioning and metrics tracked	SLA too long; No automation; No verification; No evidence; Incomplete deprovisioning; Not tracked	Account deprovisioning not completed within target SLA on termination.	Critical	Auditor	6.5; 5.18; 5.15	11; 12	
5.16	Identity Management	Organisational Controls	5	How are dormant accounts identified and managed?	Dormant account review. Look for: inactivity threshold such as 90 days; detection mechanism; review process; automatic disable or delete procedures.	How many dormant accounts exist currently?	CONFIG; RECORD; REPORT	Document	Inactivity threshold defined and detection mechanism and review process and automatic disable and current dormant count known and regular reporting	No threshold; No detection; No review; No automation; Dormant count unknown; No reporting	Dormant accounts not identified or managed.	High	Analyst	5.15; 8.15; RQ9	11; 12	
5.16	Identity Management	Organisational Controls	6	How are identity changes managed for role changes and transfers?	Role change review. Look for: role change triggers; access review; removal of previous access; new access provisioning; timing requirements.	Is there an access review at every role change?	PROCEDURE; RECORD	Document	Role change triggers defined and access review mandatory and previous access removed and new access provisioned and timing requirements and evidence available	No triggers; No access review; Previous access retained; New access delayed; No timing requirements	Identity and access changes not managed when personnel change roles.	High	Advisor	5.18; 5.15; 6.5	11; 12	
5.17	Authentication Information	Organisational Controls	1	Provide your authentication policy including password and MFA requirements.	Authentication policy review. Look for: password policy with minimum length 12 characters; complexity; history; MFA requirements for different system types.	Do requirements meet current best practice?	POLICY; CONFIG	Document	Password policy with 12 character minimum and complexity requirements and history enforced and MFA requirements defined and best practice alignment and regular review	Weak password requirements; No complexity; No history; MFA not required; Below best practice; Not reviewed	Authentication policy does not meet current best practice requirements.	High	Auditor	5.15; 5.16; 8.5	11; 12	
5.17	Authentication Information	Organisational Controls	2	How is initial authentication information provided securely?	Initial credential review. Look for: secure distribution method; forced change on first use; identity verification before password reset.	Is initial password distribution secure?	PROCEDURE; RECORD	Document	Secure distribution method and forced change on first use and identity verification for resets and documented process and audit trail	Insecure distribution; No forced change; No identity verification; Process undocumented; No audit trail	Initial authentication information not distributed securely.	High	Advisor	5.16; 6.1; 5.15	11; 12	
5.17	Authentication Information	Organisational Controls	3	Where is MFA implemented?	MFA coverage review. Look for: MFA coverage including VPN; privileged accounts; cloud services; email; remote access; technology used including TOTP and push and hardware keys.	Is MFA coverage comprehensive?	CONFIG; REGISTER	Document	MFA on VPN and privileged accounts and cloud services and email and remote access and technology documented and comprehensive coverage and enforced	Limited MFA coverage; Privileged without MFA; Cloud without MFA; Remote access without MFA; Not enforced	MFA not implemented comprehensively across all required access points.	Critical	Auditor	5.15; 8.2; 6.7	11; 12	
5.17	Authentication Information	Organisational Controls	4	What is your password reset process?	Password reset review. Look for: self-service capability; identity verification requirements; help desk procedures; reset logging.	Is reset process secure against social engineering?	PROCEDURE; RECORD	Document	Self-service available and identity verification required and help desk procedures documented and reset logging and secure against social engineering and tested	No self-service; No identity verification; Help desk undocumented; No logging; Vulnerable to social engineering	Password reset process vulnerable to social engineering attacks.	High	Auditor	5.16; 6.3; 8.15	11; 12	
5.17	Authentication Information	Organisational Controls	5	How are users educated on credential protection?	Credential awareness review. Look for: training content; phishing awareness; credential sharing prohibition; reporting suspicious requests.	Is training effective? Check phishing simulation results.	RECORD; REPORT	Interview	Training includes credential protection and phishing awareness and sharing prohibition and reporting process and effectiveness measured and phishing simulation results	No training; Phishing not covered; Sharing permitted; No reporting process; Effectiveness unmeasured	Users not educated on credential protection or training ineffective.	Medium	Advisor	6.3; 5.7; 5.24	11; 12	
5.18	Access Rights	Organisational Controls	1	What is your access provisioning process?	Provisioning process review. Look for: request workflow; approval chain; documentation; provisioning timeframe; verification of correct access.	Is access provisioned consistently?	PROCEDURE; RECORD	Document	Request workflow documented and approval chain defined and documentation maintained and timeframe SLA and verification of correct access and consistent process	No workflow; No approval chain; No documentation; No SLA; No verification; Inconsistent	Access provisioning process not documented or not consistently followed.	High	Auditor	5.15; 5.16; 5.2	18	11; 12
5.18	Access Rights	Organisational Controls	2	How frequently are access rights reviewed?	Review frequency verification. Look for: review schedule by access type; privileged accounts quarterly minimum; standard semi-annual; evidence of reviews.	Are reviews completed on time?	RECORD; REPORT	Document	Review schedule documented and privileged quarterly and standard semi-annual and evidence of completed reviews and reviewers assigned and on-time completion tracked	No schedule; Privileged not quarterly; Standard not semi-annual; No evidence; Reviews overdue	Access rights reviews not conducted at required frequency.	High	Auditor	5.15; 8.2; RQ9	18	11; 12
5.18	Access Rights	Organisational Controls	3	What triggers an access modification?	Access modification triggers review. Look for: role change; transfer; project end; access review finding; security incident; manager request documented.	Are all triggers captured?	PROCEDURE; RECORD	Document	All triggers documented and role change and transfer and project end and review findings and incidents and manager requests and consistently applied	Triggers not documented; Missing trigger types; Inconsistent application; Triggers missed; No tracking	Access modification triggers not documented or not consistently applied.	Medium	Advisor	5.16; 5.15; 6.5	18	11; 12
5.18	Access Rights	Organisational Controls	4	What is your access revocation SLA on termination?	Revocation timeliness review. Look for: same-day target; automated triggers; verification of complete revocation; exception handling.	Show me timing for recent terminations.	PROCEDURE; RECORD	Document	Same-day SLA and automated triggers and complete revocation verified and exception handling documented and evidence for recent terminations and metrics tracked	SLA exceeded; No automation; Revocation incomplete; No exception handling; No evidence; Not tracked	Access revocation not completed within SLA on termination.	Critical	Auditor	5.16; 6.5; 5.15	18	11; 12
5.18	Access Rights	Organisational Controls	5	Is there segregation between access request and approval?	Request approval segregation review. Look for: requestor cannot approve own access; manager or owner approval; independent verification for sensitive access.	Can users approve their own access?	PROCEDURE; CONFIG	Document	Requestor cannot approve own access and manager or owner approval required and independent verification for sensitive access and system enforced and audit trail	Self-approval possible; No manager approval; No independent verification; Not system enforced; No audit trail	Users can approve their own access requests without independent approval.	High	Auditor	5.3; 5.15; 5.16	18	11; 12
5.19	Information Security in Supplier Relationships	Organisational Controls	1	Provide your supplier security assessment process.	Supplier assessment review. Look for: risk-based classification; assessment methodology including questionnaires and audits; due diligence procedures; minimum requirements.	Are all suppliers assessed?	PROCEDURE; MATRIX	Document	Risk-based classification and assessment methodology and questionnaires and audits and due diligence procedures and minimum requirements and complete coverage	No classification; No methodology; No questionnaires; No due diligence; No minimum requirements; Incomplete coverage	Supplier security assessment process not documented or not applied to all suppliers.	High	Auditor	5.1; 5.20; 5.21	19; 21	11; 12
5.19	Information Security in Supplier Relationships	Organisational Controls	2	Show me your critical supplier register.	Critical supplier identification review. Look for: identification criteria; current critical suppliers listed; enhanced requirements; assessment frequency.	How are critical suppliers identified?	REGISTER; MATRIX	Document	Identification criteria documented and critical suppliers listed and enhanced requirements and more frequent assessment and regular review and complete coverage	No identification criteria; Critical suppliers not listed; No enhanced requirements; Assessment infrequent; Not reviewed	Critical suppliers not identified or not subject to enhanced security requirements.	High	Auditor	5.20; 5.22; RQ6	19; 21	11; 12
5.19	Information Security in Supplier Relationships	Organisational Controls	3	What security requirements are included in supplier contracts?	Contract security requirements review. Look for: standard clauses including data protection; incident notification; audit rights; compliance requirements; liability.	Are security requirements contractually binding?	CONTRACT; POLICY	Document	Standard security clauses and data protection and incident notification and audit rights and compliance requirements and liability and contractually binding	No standard clauses; Data protection missing; No incident notification; No audit rights; Compliance not addressed	Security requirements not included in supplier contracts or not enforceable.	High	Auditor	5.20; 5.1; 6.6	19; 21	11; 12
5.19	Information Security in Supplier Relationships	Organisational Controls	4	How is ongoing supplier security monitoring performed?	Ongoing monitoring review. Look for: periodic reassessment; certification tracking; security scorecard monitoring; audit exercises.	Show me evidence of ongoing monitoring.	RECORD; REPORT	Document	Periodic reassessment conducted and certification tracking and security scorecard and audit exercises and evidence available and consistent monitoring	No periodic reassessment; Certifications not tracked; No scorecard; No audits; No evidence; Monitoring not consistent	Ongoing supplier security monitoring not performed or not documented.	High	Advisor	5.22; 5.20; RQ9	19; 21	11; 12
5.19	Information Security in Supplier Relationships	Organisational Controls	5	How do regulatory requirements apply to your suppliers?	Regulatory flow-down review. Look for: third party capability assessment; security requirements in agreements; incident notification obligations; testing requirements.	Are regulatory requirements flowed down to material suppliers?	CONTRACT; MATRIX	Document	Regulatory requirements mapped to suppliers and capability assessment and security in agreements and incident notification and testing requirements and flow-down documented	Regulatory requirements not mapped; No capability assessment; Not in agreements; Notification not required; Testing not required	Regulatory security requirements not flowed down to material suppliers.	High	Advisor	5.31; 5.20; 5.5	19; 21	11; 12
5.20	Addressing Security in Supplier Agreements	Organisational Controls	1	Provide template security clauses used in supplier agreements.	Template clause review. Look for: standard security schedule; compliance obligations; data handling requirements; termination provisions.	Are clauses comprehensive and enforceable?	CONTRACT; POLICY	Document	Standard security schedule and compliance obligations and data handling and termination provisions and comprehensive coverage and legally reviewed and enforceable	No template clauses; Compliance not addressed; Data handling missing; Termination unclear; Not comprehensive; Not enforceable	Supplier agreement security clauses not standardised or not comprehensive.	High	Auditor	5.19; 5.1; 6.6	19	11; 12
5.20	Addressing Security in Supplier Agreements	Organisational Controls	2	What incident notification requirements are in agreements?	Incident notification clause review. Look for: notification timeframes such as 24-72 hours; escalation contacts; severity definitions; coordination requirements.	Can suppliers meet your notification requirements?	CONTRACT; MATRIX	Document	Notification timeframes defined and escalation contacts and severity definitions and coordination requirements and suppliers can comply and tested	No timeframes; Contacts undefined; Severity not defined; Coordination unclear; Suppliers cannot comply; Not tested	Supplier incident notification requirements not defined or unrealistic.	High	Auditor	5.24; 5.19; 5.27	19	11; 12
5.20	Addressing Security in Supplier Agreements	Organisational Controls	3	Do agreements include audit rights?	Audit rights review. Look for: right to audit; assessment access; evidence provision requirements; audit cost allocation; advance notice requirements.	Have you exercised audit rights?	CONTRACT; RECORD	Document	Right to audit in contracts and assessment access and evidence requirements and cost allocation and notice requirements and exercised rights documented	No audit rights; Access restricted; Evidence not required; Cost prohibitive; Notice too long; Rights not exercised	Audit rights not included in supplier agreements or not exercised.	High	Auditor	5.19; 5.22; 5.35	19	11; 12
5.20	Addressing Security in Supplier Agreements	Organisational Controls	4	What certification requirements apply to suppliers?	Certification requirements review. Look for: ISO 27001; SOC 2 Type II; other certifications by criticality; annual evidence provision.	Are certification requirements enforced?	CONTRACT; RECORD	Document	Certification requirements documented and ISO 27001 or SOC 2 by criticality and annual evidence provision and tracked and enforced and current certificates on file	No certification requirements; Not tied to criticality; Evidence not required; Not tracked; Not enforced; Certificates expired	Supplier certification requirements not defined or not enforced.	High	Auditor	5.19; 5.22; 5.35	19	11; 12
5.20	Addressing Security in Supplier Agreements	Organisational Controls	5	How are subcontractor security requirements addressed?	Subcontractor requirements review. Look for: flow-down of requirements; approval for subcontracting; visibility into subcontractor use.	Do you know who your suppliers' suppliers are?	CONTRACT; REGISTER	Document	Requirements flow to subcontractors and approval required for subcontracting and visibility into subcontractor use and tracked and monitored	No flow-down; No approval required; No visibility; Not tracked; Not monitored	Subcontractor security requirements not addressed in supplier agreements.	High	Advisor	5.21; 5.19; 5.22	19	11; 12
5.21	Managing Security in the ICT Supply Chain	Organisational Controls	1	How are ICT supply chain risks identified and managed?	Supply chain risk review. Look for: supply chain risk assessment; vendor concentration risk; geographic considerations; single points of failure identified.	Are supply chain risks in your risk register?	REGISTER; MATRIX	Document	Supply chain risks assessed and vendor concentration and geographic considerations and single points of failure and in risk register and treatment plans	No supply chain assessment; Concentration not assessed; Geography ignored; SPOFs not identified; Not in risk register	ICT supply chain risks not identified or not included in risk register.	High	Advisor	RQ6; 5.19; 5.7	21a; 21b; 21c	11; 12
5.21	Managing Security in the ICT Supply Chain	Organisational Controls	2	How is the security of ICT products verified?	Product security verification review. Look for: product security assessments; vulnerability disclosure programs; secure development evidence; security certifications.	Do you assess product security before purchase?	PROCEDURE; RECORD	Document	Product security assessments and vulnerability disclosure reviewed and secure development evidence and certifications verified and before purchase and documented	No product assessments; Disclosure not reviewed; No secure dev evidence; Certifications not verified; Post-purchase only	ICT product security not verified before purchase.	High	Advisor	5.19; 8.8; 8.25	21a; 21b; 21c	11; 12
5.21	Managing Security in the ICT Supply Chain	Organisational Controls	3	Do you require Software Bill of Materials?	SBOM requirements review. Look for: SBOM requirements in contracts; component traceability; open source identification; vulnerability tracking.	Can you identify vulnerable components in your software?	CONTRACT; REGISTER	Document	SBOM required in contracts and component traceability and open source identified and vulnerability tracking and can identify vulnerable components	No SBOM requirements; No traceability; Open source unknown; Vulnerabilities not tracked; Cannot identify components	Software Bill of Materials not required or component vulnerabilities not trackable.	High	Advisor	5.20; 8.8; 8.28	21a; 21b; 21c	11; 12
5.21	Managing Security in the ICT Supply Chain	Organisational Controls	4	How are software updates and patches verified?	Patch verification review. Look for: integrity verification; trusted sources; testing before deployment; rollback capability.	How do you verify patch authenticity?	PROCEDURE; CONFIG	Document	Integrity verification performed and trusted sources used and testing before deployment and rollback capability and verification documented	No integrity verification; Untrusted sources; No testing; No rollback; Verification undocumented	Software updates and patches not verified for integrity before deployment.	High	Advisor	8.8; 8.32; 8.9	21a; 21b; 21c	11; 12
5.21	Managing Security in the ICT Supply Chain	Organisational Controls	5	How are supply chain security incidents managed?	Supply chain incident review. Look for: notification handling; impact assessment; coordinated response; communication with affected parties.	How would you respond to a supplier breach?	PROCEDURE; MATRIX	Document	Notification handling process and impact assessment and coordinated response and communication plan and tested through exercises and documented	No notification process; No impact assessment; No coordinated response; No communication plan; Not tested	Supply chain security incident response not documented or not tested.	High	Advisor	5.24; 5.26; 5.19	21a; 21b; 21c	11; 12
5.22	Monitoring Review and Change Management of Supplier Services	Organisational Controls	1	How are supplier services monitored for security?	Supplier monitoring review. Look for: SLA monitoring; security metric tracking; performance dashboards; automated alerts.	Are security metrics actually tracked?	CONFIG; REPORT	Document	SLA monitoring in place and security metrics tracked and performance dashboards and automated alerts and regular review and documented	No SLA monitoring; Metrics not tracked; No dashboards; No alerts; Not reviewed; Undocumented	Supplier services not monitored for security performance.	High	Analyst	5.19; 5.20; RQ9	21a; 21b; 21c	11; 12
5.22	Monitoring Review and Change Management of Supplier Services	Organisational Controls	2	What is your supplier reassessment schedule?	Reassessment schedule review. Look for: annual minimum; trigger-based for incidents and changes; certification renewal tracking; reassessment records.	Show me recent reassessment evidence.	REGISTER; RECORD	Document	Annual minimum reassessment and trigger-based reassessment and certification renewal tracked and reassessment records and recent evidence available	No schedule; Annual not met; Trigger-based missing; Renewal not tracked; No records; No evidence	Supplier security reassessment not conducted at required intervals.	High	Auditor	5.19; 5.20; 5.35	21a; 21b; 21c	11; 12
5.22	Monitoring Review and Change Management of Supplier Services	Organisational Controls	3	How are changes to supplier services managed?	Supplier change management review. Look for: change notification requirements; security impact assessment; approval before implementation.	How are you notified of supplier changes?	PROCEDURE; RECORD	Document	Change notification requirements in contracts and security impact assessment and approval before implementation and tracking and documented	No notification requirements; No impact assessment; No approval; Not tracked; Undocumented	Supplier service changes not managed with security impact assessment.	High	Advisor	5.20; 8.32; 5.19	21a; 21b; 21c	11; 12
5.22	Monitoring Review and Change Management of Supplier Services	Organisational Controls	4	How are supplier security incidents handled?	Supplier incident handling review. Look for: notification process; impact assessment; coordinated response; root cause analysis; follow-up.	Show me how a recent supplier incident was handled.	PROCEDURE; RECORD	Document	Notification process and impact assessment and coordinated response and root cause analysis and follow-up and recent example available	No notification process; No impact assessment; No coordination; No RCA; No follow-up; No examples	Supplier security incidents not handled with documented response process.	High	Advisor	5.24; 5.27; 5.20	21a; 21b; 21c	11; 12
5.22	Monitoring Review and Change Management of Supplier Services	Organisational Controls	5	How is security assessed at contract renewal?	Renewal assessment review. Look for: security review requirements; updated requirements; lessons learned incorporation; right to terminate.	Is security re-evaluated at renewal?	PROCEDURE; RECORD	Document	Security review at renewal and updated requirements and lessons learned incorporated and right to terminate and documented and evidence available	No security review at renewal; Requirements not updated; Lessons not incorporated; No termination right	Security not reassessed at supplier contract renewal.	High	Advisor	5.19; 5.20; 5.27	21a; 21b; 21c	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	1	Provide your cloud service evaluation and selection criteria.	Cloud security policy review per topic-specific policy approach. Look for: acquisition process with selection criteria; use guidelines; management procedures; exit strategy with data retrieval and secure deletion; shared responsibility model documented per cloud service type including IaaS and PaaS and SaaS.	Is there a formal evaluation process?	PROCEDURE; MATRIX	Document	Formal evaluation process and security requirements defined and compliance certifications required and data residency considered and exit strategy required and vendor assessment	No evaluation process; Security requirements undefined; Certifications not required; Residency ignored; No exit strategy	Cloud service evaluation does not include formal security criteria.	High	Auditor	5.19; 5.31; RQ6	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	2	Show me your shared responsibility matrix for each major cloud provider.	Shared responsibility review. Look for: documented matrix per provider; clear delineation of provider vs customer responsibilities; gaps addressed.	Is shared responsibility clearly documented?	MATRIX; RECORD	Document	Matrix per cloud provider and provider vs customer responsibilities clear and gaps identified and addressed and current and reviewed regularly	No shared responsibility matrix; Responsibilities unclear; Gaps not identified; Outdated; Not reviewed	Cloud shared responsibility model not documented or gaps not addressed.	Critical	Auditor	5.19; 8.9; 5.1	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	3	How is cloud security configuration managed?	Cloud security configuration review. Look for: CSPM tools deployed; configuration standards; drift detection; compliance monitoring; remediation tracking.	What CSPM tools are used?	CONFIG; RECORD	Document	CSPM deployed and configuration standards defined and drift detection and compliance monitoring and remediation tracking and alerts actioned	No CSPM; No standards; No drift detection; No monitoring; Alerts not actioned; Remediation not tracked	Cloud security configuration not managed or drift not detected.	High	Auditor	8.9; 8.16; 5.36	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	4	Provide your documented exit strategy for cloud services.	Exit strategy review. Look for: data extraction procedures with defined timeframes; transition planning with continuity measures; service continuity; contractual provisions including data return SLAs; secure deletion requirements with certification; tested procedures with evidence.	Has the exit strategy been tested?	PROCEDURE; CONTRACT	Document	Exit strategy documented and data retrieval procedures with defined timeframes and secure deletion requirements with certification and transition planning with continuity measures and contractual requirements including data return SLAs and tested procedures with evidence	No exit strategy; Extraction procedures missing; No transition plan; Continuity not addressed; Provisions missing; Not tested	Cloud service exit strategy not documented or not tested.	Critical	Advisor	5.19; 5.30; 5.20	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	5	How is data protected in cloud environments?	Cloud data protection review. Look for: encryption at rest AES-256; encryption in transit TLS 1.2 or higher; key management customer-managed vs provider; data residency.	Who controls the encryption keys?	CONFIG; PROCEDURE	Document	Encryption at rest AES-256 and encryption in transit TLS 1.2 or higher and key management documented and customer-managed where appropriate and data residency compliant	No encryption at rest; Weak encryption in transit; Key management unclear; Provider-managed only; Residency non-compliant	Cloud data not adequately protected with encryption or key management unclear.	Critical	Auditor	8.24; 5.12; 5.31	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	6	How are cloud provider certifications reviewed?	Provider certification review. Look for: annual SOC 2 Type II review; ISO 27001 certificate validation; relevant control scope; exception assessment.	Show me the latest cloud provider SOC 2 review.	RECORD; REPORT	Document	Annual SOC 2 review conducted and ISO 27001 validated and relevant control scope verified and exceptions assessed and documented and recent review available	No annual review; SOC 2 not reviewed; ISO 27001 not validated; Scope not verified; Exceptions not assessed	Cloud provider certifications not reviewed annually.	High	Auditor	5.20; 5.35; 5.19	21	11; 12
5.23	Information Security for Cloud Services	Organisational Controls	7	How is multi-tenant isolation verified?	Tenant isolation review. Look for: isolation architecture documentation; tenant boundary testing; penetration test scope including tenant isolation.	How do you verify tenant isolation?	CONFIG; REPORT	Document	Isolation architecture documented and tenant boundary testing and penetration test includes isolation and verification evidence and regular assessment	No architecture documentation; No boundary testing; Pen test excludes isolation; No verification; Not regularly assessed	Multi-tenant isolation not verified or not included in security testing.	High	Advisor	8.8; 8.29; 5.19	21	11; 12
5.24	Incident Management Planning and Preparation	Organisational Controls	1	Provide your incident response plan.	IRP comprehensiveness review. Look for: roles; responsibilities; severity classification; escalation matrix; communication procedures; containment strategies documented.	Is the plan comprehensive and current?	PROCEDURE; MATRIX	Document	IRP documented with roles and responsibilities and severity classification and escalation matrix and communication procedures and containment strategies and current	No IRP; Roles unclear; No severity classification; No escalation matrix; Communication undefined; Containment missing	Incident response plan not documented or missing critical elements.	Critical	Auditor	5.1; 5.25; 5.26	23; 24; 25a; 25b	11; 12
